base_file,original_filename,type,materials,objects,colors,orientation,canonical_for,allowed_edits,do_not_use_for,notes,asset_id,image_path,sha256,source_role,approval_status,provenance_source,material_tags,finish_tags
Air cooler.png,Category icon_Air cooler repair 1.png,appliance,matte-plastic,air-cooler,white-grey,front-near-orthographic,Air cooler,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-994c87c3a2fd0912,references/archive/PNGs_renamed/Air cooler repair.png,994c87c3a2fd0912c672b212d971b1996c1cf676f512f03688d4cc1bc88f5422,editable_base,existing_curated,bundled_uc_icon_archive,plastic,matte
Air purifier.png,Category icon_Air purifier repair 1.png,appliance,matte-plastic,air-purifier,white-grey-black,front-near-orthographic,Air purifier,recolor trim;minor panel/tap change;remove tiny detail,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-fdda9cd1cfcb0917,references/archive/PNGs_renamed/Air purifier repair.png,fdda9cd1cfcb0917f8d125057693b53853921d43e5a98ae0081ae7d1a261b082,editable_base,existing_curated,bundled_uc_icon_archive,plastic,matte
Ant (prohibition).png,Category icon_Ant control 1.png,composite,glossy-plastic,ant-prohibition,grey-red-black,front-near-orthographic,Ant (prohibition),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-f51eeac88fb12c75,references/archive/PNGs_renamed/Ant control.png,f51eeac88fb12c759927cee746f4003d4c80ad6b2d9a73449c9afcf78909e0d6,editable_base,existing_curated,bundled_uc_icon_archive,plastic,glossy
Armchair (beige).png,Category icon_Living & bedroom cleaning 1.png,furniture,fabric-upholstery-wood,armchair-beige,beige-yellow,front-near-orthographic,Armchair (beige),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-44917b5b770e4c02,references/archive/PNGs_renamed/Living & bedroom cleaning.png,44917b5b770e4c02f083b1afdbc6cbad642d222ad2d50e4ee8341a2223ea6418,editable_base,existing_curated,bundled_uc_icon_archive,fabric;wood,unknown
Armchair (blue tufted).png,Category icon_Premium_Living & bedroom cleaning_dubai 1.png,furniture,woven-fabric-wood,armchair-blue-tufted,light-blue-grey,front-near-orthographic,Armchair (blue tufted),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-0e9f63bf6654068e,references/archive/PNGs_renamed/Premium living & bedroom cleaning (Dubai).png,0e9f63bf6654068e6862debb64e6c786da25547f1b82c65cabb48d5114d7fd85,editable_base,existing_curated,bundled_uc_icon_archive,fabric;wood,woven
Bed bug (prohibition).png,Category icon_Bed bugs control 1.png,composite,glossy-chitin,bed-bug-prohibition,brown-red,front-near-orthographic,Bed bug (prohibition),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-169441667e5b16d0,references/archive/PNGs_renamed/Bed bugs control.png,169441667e5b16d03e48cc3788f4ac0fbb06523d708aa09c8ea2c5e2b29cf3d7,editable_base,existing_curated,bundled_uc_icon_archive,chitin,glossy
Box truck.png,Category Icon_Packers & movers Dubai 1.png,object,glossy-painted-metal-rubber-chrome,box-truck,red-yellow-black,side-horizontal,Box truck,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-37c750699be22cff,references/archive/PNGs_renamed/Packers & movers (Dubai).png,37c750699be22cffd305759ef97426f28aafadf89daa52b31865da405c0c5a4a,editable_base,existing_curated,bundled_uc_icon_archive,metal;rubber;chrome,glossy;painted
Bucket with cloth & calendar.png,HS_Monthly Cleaners_Dubai 1.png,composite,matte-plastic-metal-cotton,bucket-with-cloth-calendar,blue-yellow-white-red,front-near-orthographic,Bucket with cloth & calendar,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-935e986f280c16d1,references/archive/PNGs_renamed/Monthly cleaners (Dubai).png,935e986f280c16d104bcd6ab9e34e8b23b940bba07958c7700c40674cadd64bb,editable_base,existing_curated,bundled_uc_icon_archive,plastic;metal;cotton,matte
Cabinet (wooden).png,Category icon_Wood polish 1.png,furniture,glossy-polished-wood,cabinet-wooden,honey-brown,front-slight-top,Cabinet (wooden),recolor wood;add/remove one tool;minor handle change,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-cd5c0a84e4b3ab99,references/archive/PNGs_renamed/Wood polish.png,cd5c0a84e4b3ab9949e5ae940366603b16776b5d2481a40158a62422db09e174,editable_base,existing_curated,bundled_uc_icon_archive,wood,glossy;polished
Cabinet with drill.png,Category icon_Carpenter 1.png,composite,wood-glossy-plastic,cabinet-with-drill,tan-yellow-black,front-slight-top,Cabinet with drill,recolor wood;add/remove one tool;minor handle change,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-94137079665ba9d4,references/archive/PNGs_renamed/Carpenter.png,94137079665ba9d4ba6316e0a56424ec6f522487725b7d66e673b544cc41b049,editable_base,existing_curated,bundled_uc_icon_archive,wood;plastic,glossy
